Slice,Count,Total Area,Average Size,%Area,Pot number
r_55_02_20250108.jpg,2,451,225.500,0.180,25
r_55_02_20250108.jpg,1,393,393.000,0.157,26
r_55_02_20250108.jpg,0,0,NaN,0.000,27
r_55_02_20250108.jpg,1,5032,5032.000,2.013,28
r_55_02_20250108.jpg,2,6923,3461.500,2.769,29
r_55_02_20250108.jpg,0,0,NaN,0.000,30
r_55_02_20250108.jpg,0,0,NaN,0.000,31
r_55_02_20250108.jpg,3,270,90.000,0.108,32
r_55_02_20250108.jpg,9,13794,1532.667,5.518,33
r_55_02_20250108.jpg,8,1183,147.875,0.473,34
r_55_02_20250108.jpg,4,3292,823.000,1.317,35
r_55_02_20250108.jpg,0,0,NaN,0.000,36
r_55_02_20250108.jpg,0,0,NaN,0.000,37
r_55_02_20250108.jpg,0,0,NaN,0.000,38
r_55_02_20250108.jpg,0,0,NaN,0.000,39
r_55_02_20250108.jpg,5,6127,1225.400,2.451,40
r_55_02_20250122.jpg,7,14190,2027.143,5.676,1
r_55_02_20250122.jpg,3,9489,3163.000,3.796,2
r_55_02_20250122.jpg,0,0,NaN,0.000,3
r_55_02_20250122.jpg,0,0,NaN,0.000,4
r_55_02_20250122.jpg,2,1132,566.000,0.453,5
r_55_02_20250122.jpg,0,0,NaN,0.000,6
r_55_02_20250122.jpg,0,0,NaN,0.000,7
r_55_02_20250122.jpg,2,823,411.500,0.329,8
r_55_02_20250122.jpg,0,0,NaN,0.000,9
r_55_02_20250122.jpg,0,0,NaN,0.000,10
r_55_02_20250122.jpg,1,249,249.000,0.100,11
r_55_02_20250122.jpg,0,0,NaN,0.000,12
r_55_02_20250122.jpg,3,1156,385.333,0.462,13
r_55_02_20250122.jpg,0,0,NaN,0.000,14
r_55_02_20250122.jpg,1,11985,11985.000,4.794,15
r_55_02_20250122.jpg,1,781,781.000,0.312,16
r_55_02_20250122.jpg,0,0,NaN,0.000,17
r_55_02_20250122.jpg,2,343,171.500,0.137,18
r_55_02_20250122.jpg,1,746,746.000,0.298,19
r_55_02_20250122.jpg,5,12722,2544.400,5.089,20
r_55_02_20250122.jpg,0,0,NaN,0.000,21
r_55_02_20250122.jpg,1,295,295.000,0.118,22
r_55_02_20250122.jpg,1,205,205.000,0.082,23
r_55_02_20250122.jpg,0,0,NaN,0.000,24
r_55_02_20250122.jpg,0,0,NaN,0.000,25
r_55_02_20250122.jpg,2,461,230.500,0.184,26
r_55_02_20250122.jpg,4,1310,327.500,0.524,27
r_55_02_20250122.jpg,1,4455,4455.000,1.782,28
r_55_02_20250122.jpg,1,10165,10165.000,4.066,29
r_55_02_20250122.jpg,0,0,NaN,0.000,30
r_55_02_20250122.jpg,3,3003,1001.000,1.201,31
r_55_02_20250122.jpg,1,1282,1282.000,0.513,32
r_55_02_20250122.jpg,11,10480,952.727,4.192,33
r_55_02_20250122.jpg,4,732,183.000,0.293,34
r_55_02_20250122.jpg,3,4691,1563.667,1.876,35
r_55_02_20250122.jpg,1,15,15.000,0.006,36
r_55_02_20250122.jpg,1,244,244.000,0.098,37
r_55_02_20250122.jpg,0,0,NaN,0.000,38
r_55_02_20250122.jpg,2,636,318.000,0.254,39
r_55_02_20250122.jpg,4,442,110.500,0.177,40
r_55_02_20250207.jpg,8,19124,2390.500,7.650,1
r_55_02_20250207.jpg,4,3093,773.250,1.237,2
r_55_02_20250207.jpg,0,0,NaN,0.000,3
r_55_02_20250207.jpg,0,0,NaN,0.000,4
r_55_02_20250207.jpg,1,211,211.000,0.084,5
r_55_02_20250207.jpg,0,0,NaN,0.000,6
r_55_02_20250207.jpg,2,444,222.000,0.178,7
r_55_02_20250207.jpg,2,454,227.000,0.182,8
r_55_02_20250207.jpg,0,0,NaN,0.000,9
r_55_02_20250207.jpg,0,0,NaN,0.000,10
r_55_02_20250207.jpg,0,0,NaN,0.000,11
r_55_02_20250207.jpg,2,568,284.000,0.227,12
r_55_02_20250207.jpg,2,1453,726.500,0.581,13
r_55_02_20250207.jpg,0,0,NaN,0.000,14
r_55_02_20250207.jpg,2,8747,4373.500,3.499,15
r_55_02_20250207.jpg,1,279,279.000,0.112,16
r_55_02_20250207.jpg,2,809,404.500,0.324,17
r_55_02_20250207.jpg,1,488,488.000,0.195,18
r_55_02_20250207.jpg,0,0,NaN,0.000,19
r_55_02_20250207.jpg,5,11116,2223.200,4.446,20
r_55_02_20250207.jpg,1,447,447.000,0.179,21
r_55_02_20250207.jpg,0,0,NaN,0.000,22
r_55_02_20250207.jpg,0,0,NaN,0.000,23
r_55_02_20250207.jpg,0,0,NaN,0.000,24
r_55_02_20250207.jpg,1,452,452.000,0.181,25
r_55_02_20250207.jpg,0,0,NaN,0.000,26
r_55_02_20250207.jpg,0,0,NaN,0.000,27
r_55_02_20250207.jpg,4,3595,898.750,1.438,28
r_55_02_20250207.jpg,2,4648,2324.000,1.859,29
r_55_02_20250207.jpg,0,0,NaN,0.000,30
r_55_02_20250207.jpg,1,255,255.000,0.102,31
r_55_02_20250207.jpg,4,4198,1049.500,1.679,32
r_55_02_20250207.jpg,2,3396,1698.000,1.358,33
r_55_02_20250207.jpg,1,222,222.000,0.089,34
r_55_02_20250207.jpg,1,11032,11032.000,4.413,35
r_55_02_20250207.jpg,0,0,NaN,0.000,36
r_55_02_20250207.jpg,0,0,NaN,0.000,37
r_55_02_20250207.jpg,2,464,232.000,0.186,38
r_55_02_20250207.jpg,0,0,NaN,0.000,39
r_55_02_20250207.jpg,10,10260,1026.000,4.104,40
r_55_02_20250220.jpg,7,15302,2186.000,6.121,1
r_55_02_20250220.jpg,3,1488,496.000,0.595,2
r_55_02_20250220.jpg,1,424,424.000,0.170,3
r_55_02_20250220.jpg,1,298,298.000,0.119,4
r_55_02_20250220.jpg,2,567,283.500,0.227,5
r_55_02_20250220.jpg,1,386,386.000,0.154,6
r_55_02_20250220.jpg,4,1367,341.750,0.547,7
r_55_02_20250220.jpg,2,642,321.000,0.257,8
r_55_02_20250220.jpg,2,3356,1678.000,1.342,9
r_55_02_20250220.jpg,1,223,223.000,0.089,10
r_55_02_20250220.jpg,1,7,7.000,0.003,11
